,exchange,symbol,timestamp,local_timestamp,asks[0].price,asks[0].amount,bids[0].price,bids[0].amount,asks[1].price,asks[1].amount,bids[1].price,bids[1].amount,asks[2].price,asks[2].amount,bids[2].price,bids[2].amount,asks[3].price,asks[3].amount,bids[3].price,bids[3].amount,asks[4].price,asks[4].amount,bids[4].price,bids[4].amount,asks[5].price,asks[5].amount,bids[5].price,bids[5].amount,asks[6].price,asks[6].amount,bids[6].price,bids[6].amount,asks[7].price,asks[7].amount,bids[7].price,bids[7].amount,asks[8].price,asks[8].amount,bids[8].price,bids[8].amount,asks[9].price,asks[9].amount,bids[9].price,bids[9].amount,asks[10].price,asks[10].amount,bids[10].price,bids[10].amount,asks[11].price,asks[11].amount,bids[11].price,bids[11].amount,asks[12].price,asks[12].amount,bids[12].price,bids[12].amount,asks[13].price,asks[13].amount,bids[13].price,bids[13].amount,asks[14].price,asks[14].amount,bids[14].price,bids[14].amount,asks[15].price,asks[15].amount,bids[15].price,bids[15].amount,asks[16].price,asks[16].amount,bids[16].price,bids[16].amount,asks[17].price,asks[17].amount,bids[17].price,bids[17].amount,asks[18].price,asks[18].amount,bids[18].price,bids[18].amount,asks[19].price,asks[19].amount,bids[19].price,bids[19].amount,asks[20].price,asks[20].amount,bids[20].price,bids[20].amount,asks[21].price,asks[21].amount,bids[21].price,bids[21].amount,asks[22].price,asks[22].amount,bids[22].price,bids[22].amount,asks[23].price,asks[23].amount,bids[23].price,bids[23].amount,asks[24].price,asks[24].amount,bids[24].price,bids[24].amount
28,deribit,BTC-PERPETUAL,2020-04-01 00:00:01.067395,1585699201067395,6421.5,36540,6421.0,136160,6422.0,1190,6420.5,18830,6422.5,1110,6420.0,44410,6423.0,6380,6419.5,6460,6423.5,1530,6419.0,7980,6424.0,36990,6418.5,26750,6424.5,120,6418.0,33540,6425.0,51280,6417.5,30630,6425.5,61770,6417.0,26350,6426.0,3500,6416.5,4640,6426.5,16340,6416.0,31180,6427.0,22510,6415.5,22150,6427.5,45390,6415.0,290,6428.0,10620,6414.5,19120,6428.5,39950,6414.0,100660,6429.0,82520,6413.5,93070,6429.5,30230,6412.5,73580,6430.0,48300,6412.0,1150,6430.5,46800,6411.5,10,6431.0,12790,6411.0,28410,6431.5,21430,6410.5,23490,6432.0,56320,6410.0,9340,6432.5,22000,6409.5,57410,6433.0,24780,6409.0,120,6433.5,19300,6408.5,44240
75,deribit,BTC-PERPETUAL,2020-04-01 00:00:02.008050,1585699202008050,6421.5,20760,6421.0,141990,6422.0,1190,6420.5,28830,6422.5,1000,6420.0,34410,6423.0,1010,6419.5,6570,6423.5,1640,6419.0,7870,6424.0,36990,6418.5,45950,6425.0,49610,6418.0,20750,6425.5,61770,6417.5,18140,6426.0,5300,6417.0,26350,6426.5,16340,6416.5,18690,6427.0,22210,6416.0,26280,6427.5,45390,6415.5,22150,6428.0,10160,6415.0,290,6428.5,39950,6414.5,17590,6429.0,82520,6414.0,100660,6429.5,30230,6413.5,112310,6430.0,47830,6412.5,73580,6430.5,47260,6412.0,1150,6431.0,4450,6411.5,10,6431.5,21430,6411.0,9180,6432.0,58130,6410.5,23490,6432.5,22000,6410.0,9340,6433.0,24780,6409.5,57410,6433.5,26300,6409.0,120,6434.0,95550,6408.5,44240
125,deribit,BTC-PERPETUAL,2020-04-01 00:00:03.001646,1585699203001646,6421.5,20760,6421.0,134700,6422.0,1190,6420.5,18830,6422.5,1000,6420.0,18080,6423.0,1010,6419.5,3260,6423.5,1530,6419.0,7870,6424.0,14590,6418.5,26620,6425.0,3210,6418.0,20630,6425.5,61770,6417.5,32460,6426.0,51430,6417.0,19940,6427.0,22210,6416.5,11050,6427.5,51810,6416.0,24610,6428.0,10000,6415.5,22150,6428.5,39950,6415.0,310,6429.0,18500,6414.5,20800,6429.5,3780,6414.0,20840,6430.0,47830,6413.5,93070,6430.5,61190,6412.5,73580,6431.0,4320,6412.0,1150,6431.5,21430,6411.5,10,6432.0,5040,6411.0,9180,6432.5,22000,6410.5,23490,6433.0,24780,6410.0,9340,6433.5,7410,6409.5,31170,6434.0,114850,6409.0,120,6434.5,23860,6408.5,44240
153,deribit,BTC-PERPETUAL,2020-04-01 00:00:04.091533,1585699204091533,6421.5,17940,6421.0,137800,6422.0,1190,6420.5,28830,6422.5,1000,6420.0,62830,6423.0,1010,6419.5,3260,6423.5,1530,6419.0,7870,6424.0,14590,6418.5,26620,6425.0,3210,6418.0,20760,6425.5,61770,6417.5,38870,6426.0,48220,6417.0,19940,6427.0,25420,6416.5,4640,6427.5,51810,6416.0,24610,6428.0,10000,6415.5,22150,6428.5,39950,6415.0,310,6429.0,18500,6414.5,20800,6429.5,17170,6414.0,20840,6430.0,47830,6413.5,93070,6430.5,47800,6412.5,73580,6431.0,4450,6412.0,1150,6431.5,21430,6411.5,10,6432.0,37840,6411.0,9180,6432.5,20000,6410.5,23490,6433.0,26780,6410.0,9340,6433.5,26710,6409.5,31170,6434.0,95550,6409.0,120,6434.5,23860,6408.5,44240
205,deribit,BTC-PERPETUAL,2020-04-01 00:00:05.002986,1585699205002986,6421.5,330,6421.0,122770,6422.0,1190,6420.5,18830,6422.5,1000,6420.0,62830,6423.0,1010,6419.5,3260,6423.5,14320,6419.0,7870,6424.0,750,6418.5,26620,6425.0,3210,6418.0,50750,6425.5,55350,6417.5,32860,6426.0,1950,6417.0,19540,6427.0,25420,6416.5,4640,6427.5,390,6416.0,31020,6428.0,24270,6415.5,22150,6428.5,39950,6415.0,310,6429.0,116190,6414.5,20800,6429.5,20590,6414.0,20840,6430.0,47830,6413.5,93070,6430.5,32320,6412.5,27310,6431.0,19940,6412.0,1150,6431.5,21430,6411.5,10,6432.0,37840,6411.0,9180,6432.5,20000,6410.5,23490,6433.0,26780,6410.0,55610,6433.5,7410,6409.5,31170,6434.0,95550,6409.0,120,6434.5,23860,6408.5,44240
220,deribit,BTC-PERPETUAL,2020-04-01 00:00:06.082512,1585699206082512,6421.5,330,6421.0,133400,6422.0,1190,6420.5,18830,6422.5,1000,6420.0,62830,6423.0,1010,6419.5,3260,6423.5,13950,6419.0,20660,6424.0,750,6418.5,26620,6425.0,3210,6418.0,57160,6425.5,55350,6417.5,20080,6426.0,1950,6417.0,19540,6427.0,25420,6416.5,4640,6427.5,390,6416.0,24610,6428.0,30690,6415.5,22150,6428.5,39950,6415.0,290,6429.0,116190,6414.5,20800,6429.5,17170,6414.0,20840,6430.0,47830,6413.5,93070,6430.5,32320,6412.5,27310,6431.0,19940,6412.0,1150,6431.5,21430,6411.5,10,6432.0,37840,6411.0,9180,6432.5,20000,6410.5,23490,6433.0,24780,6410.0,55610,6433.5,9410,6409.5,31170,6434.0,114850,6409.0,120,6434.5,23860,6408.5,44240
240,deribit,BTC-PERPETUAL,2020-04-01 00:00:07.104082,1585699207104082,6421.5,330,6421.0,127180,6422.0,1190,6420.5,18830,6422.5,1000,6420.0,62830,6423.0,1010,6419.5,3260,6423.5,13950,6419.0,20660,6424.0,750,6418.5,26620,6425.0,3210,6418.0,57160,6425.5,55350,6417.5,20080,6426.0,1950,6417.0,19540,6427.0,25420,6416.5,4640,6427.5,390,6416.0,24610,6428.0,24270,6415.5,22150,6428.5,46370,6415.0,310,6429.0,116190,6414.5,20800,6429.5,3780,6414.0,20840,6430.0,47830,6413.5,93070,6430.5,32320,6412.5,27310,6431.0,33330,6412.0,1150,6431.5,21430,6411.5,10,6432.0,37840,6411.0,9180,6432.5,20000,6410.5,23490,6433.0,24780,6410.0,55610,6433.5,9410,6409.5,31170,6434.0,95550,6409.0,120,6434.5,23860,6408.5,44240
245,deribit,BTC-PERPETUAL,2020-04-01 00:00:08.007774,1585699208007774,6421.5,330,6421.0,128980,6422.0,1190,6420.5,18830,6422.5,1000,6420.0,62830,6423.0,1010,6419.5,3260,6423.5,13950,6419.0,20660,6424.0,750,6418.5,26620,6425.0,3210,6418.0,57160,6425.5,55350,6417.5,20080,6426.0,1950,6417.0,19540,6427.0,25420,6416.5,4640,6427.5,390,6416.0,24610,6428.0,24270,6415.5,22150,6428.5,46370,6415.0,3020,6429.0,116190,6414.5,20800,6429.5,17170,6414.0,20840,6430.0,47830,6413.5,93070,6430.5,32320,6412.5,24600,6431.0,19940,6412.0,1150,6431.5,21430,6411.5,10,6432.0,37840,6411.0,9180,6432.5,20000,6410.5,23490,6433.0,24780,6410.0,55610,6433.5,7410,6409.5,31170,6434.0,114850,6409.0,120,6434.5,23860,6408.5,44240
270,deribit,BTC-PERPETUAL,2020-04-01 00:00:09.021553,1585699209021553,6421.5,330,6421.0,127180,6422.0,1190,6420.5,18830,6422.5,1000,6420.0,62830,6423.0,1010,6419.5,3260,6423.5,13950,6419.0,7870,6424.0,730,6418.5,26620,6424.5,20,6418.0,63540,6425.0,3210,6417.5,26490,6425.5,55350,6417.0,19540,6426.0,48220,6416.5,4640,6427.0,22210,6416.0,24610,6427.5,390,6415.5,22150,6428.0,27480,6415.0,3020,6428.5,46370,6414.5,20800,6429.0,69920,6414.0,20840,6429.5,17170,6413.5,93070,6430.0,47830,6413.0,46270,6430.5,30780,6412.5,24600,6431.0,19940,6412.0,1150,6431.5,22970,6411.5,10,6432.0,37840,6411.0,9180,6432.5,20000,6410.5,23490,6433.0,24780,6410.0,9340,6433.5,9410,6409.5,31170,6434.0,95550,6409.0,120
287,deribit,BTC-PERPETUAL,2020-04-01 00:00:10.051930,1585699210051930,6421.5,15160,6421.0,127180,6422.0,1190,6420.5,18830,6422.5,1000,6420.0,61230,6423.0,1010,6419.5,3260,6423.5,1110,6419.0,9470,6424.0,730,6418.5,28160,6424.5,20,6418.0,63540,6425.0,3210,6417.5,18540,6425.5,55350,6417.0,19540,6426.0,62490,6416.5,11050,6427.0,28630,6416.0,24610,6427.5,390,6415.5,22150,6428.0,13210,6415.0,3020,6428.5,46370,6414.5,20800,6429.0,63500,6414.0,20840,6429.5,17170,6413.5,93070,6430.0,47830,6413.0,46270,6430.5,30780,6412.5,24600,6431.0,19940,6412.0,1150,6431.5,22970,6411.5,10,6432.0,37840,6411.0,9180,6432.5,20000,6410.5,23490,6433.0,24780,6410.0,9340,6433.5,9410,6409.5,31170,6434.0,95550,6409.0,120
